Date,Open,High,Low,Close,Volume,SMA20,SMA60,SMA120,EMA20,EMA60,RSI,K,D,ATR
2015-01-05,103.38399505615234,104.1250989633649,101.90178724172722,104.1250989633649,32046000,,,,104.1250989633649,104.1250989633649,,,,
2015-01-06,98.9373779296875,101.90179374780548,98.56682595242276,101.90179374780548,66778000,,,,102.95786372519622,102.99491881212221,,,,
2015-01-07,99.30791473388672,100.04901857518438,98.93736281323788,98.93736281323788,43703000,,,,101.4815598932448,101.5970699211076,,,,
2015-01-08,102.27234649658203,102.27234649658203,100.79013857634172,101.16069055640179,42491000,,,,101.38892987677028,101.48246075631508,,,,
2015-01-09,99.30791473388672,100.41957049583321,98.56681089258905,100.04901857518438,61558000,,,,101.06481673531432,101.17634668054676,,,,
2015-01-12,97.82574462890625,98.9374008178711,97.82574462890625,98.19629669189453,30338000,,,,100.4596900326983,100.6373783463607,,,,
2015-01-13,98.19628143310547,98.56683343851341,96.71407341147368,97.08462541688162,37818000,,,,99.82154885280656,100.07770373637683,,,,
2015-01-14,96.34351348876953,98.56682533851036,96.34351348876953,98.19627336355356,48740000,,,,99.54061181782113,99.81418931948006,,,,
2015-01-15,97.45516967773438,98.56682560561728,97.45516967773438,97.45516967773438,40607000,,,,99.20609670123632,99.51579347901034,,,,
2015-01-16,101.53125762939453,103.75456984025719,100.79015355910698,103.75456984025719,124042000,,,,99.8910573442074,100.00602550858271,,,,
2015-01-19,103.01343536376953,103.38398728953848,101.90177958646267,102.64288343800057,49986000,,,,100.28372318340722,100.2876514714458,,,,
2015-01-20,102.27234649658203,103.01345045670219,101.90179451652196,103.01345045670219,32739000,,,,100.65558889274143,100.55871353297955,,,,
2015-01-21,104.49564361572266,104.49564361572266,103.38398783257668,103.38398783257668,70464000,,,,101.0126381743672,100.82211066284135,,,,
2015-01-22,103.7545394897461,105.23674719674247,103.383987562997,104.86619526999338,43846000,,,,101.4995823455838,101.17764679102008,,95.83332745011283,95.83332745011283,2.6203342796078153
2015-01-23,107.4600601196289,107.4600601196289,105.60730046239392,105.60730046239392,82089000,,,,102.00297519660948,101.54673318798609,53.124978849698245,88.33332079923008,91.33332345958318,2.6468023601790898
2015-01-26,107.4600601196289,107.8306120510759,106.34840432528792,107.8306120510759,46716000,,,,102.6981553967386,102.04513040653774,62.49993807580609,93.85964252178695,92.53000091010075,2.408590830017649
2015-01-27,108.94230651855469,108.94230651855469,107.08954620361328,107.83065032958984,52805000,,,,103.29603174155879,102.48360039111867,71.42857781719084,92.7451008356322,92.61935010993689,2.3291857857586353
2015-01-28,108.57173919677734,108.94229120768784,107.83063517495634,108.57173919677734,45898000,,,,103.8978028447871,102.92598240815144,69.23073661421132,94.40103524422035,93.30331454537271,2.170376667857732
2015-01-29,106.34841918945312,107.46007513916867,105.97786720621461,106.71897117269164,34459000,,,,104.21365178044455,103.19102331000595,66.666668830672,89.99844371162945,92.09567001514775,2.1703761197684455
2015-01-30,104.49564361572266,107.83061096516062,104.49564361572266,107.46005903744529,43666000,102.93933744467813,,,104.57113249036868,103.47866036595188,74.50961459788783,89.37408845727887,91.13207945871919,2.2497827914227195
2015-02-02,105.60730743408203,105.9778593899911,104.12509961044579,104.12509961044579,29181000,102.93933747703215,,,104.52273723600811,103.5207596020206,66.66659821575522,79.79723039185603,87.20038795844485,2.3556541771341313
2015-02-03,107.08953094482422,107.08953094482422,105.2367708938757,105.97787491425511,27160000,103.14314153535466,,,104.67855523162716,103.67576618953474,67.79657610324114,77.87942314198618,84.01042133381468,2.4085912831796747
2015-02-04,108.2011489868164,108.57170086690823,106.71894146644905,107.08949334654089,40416000,103.55074806201978,,,104.93369983218817,103.88478752113431,71.66657233162356,77.6734095016577,81.86080644553643,2.5144605706632612
