date,equity,daily_ret
2015-01-05,1000000.0,
2015-01-06,1000000.0,0.0
2015-01-07,1000000.0,0.0
2015-01-08,1000000.0,0.0
2015-01-09,1000000.0,0.0
2015-01-12,1000000.0,0.0
2015-01-13,1000000.0,0.0
2015-01-14,1000000.0,0.0
2015-01-15,1000000.0,0.0
2015-01-16,1000000.0,0.0
2015-01-19,1000000.0,0.0
2015-01-20,1000000.0,0.0
2015-01-21,1000000.0,0.0
2015-01-22,1000000.0,0.0
2015-01-23,1000000.0,0.0
2015-01-26,999664.377219991,-0.00033562278000909274
2015-01-27,999664.4566479074,7.945458313507459e-08
2015-01-28,1001202.2160473214,0.0015382755575510387
2015-01-29,997357.7223973436,-0.003839877287882598
2015-01-30,998895.4797167075,0.0015418312655839372
2015-02-02,991975.4389056835,-0.006927692588003853
2015-02-03,995819.9476610878,0.003875608815119058
2015-02-04,998126.5559080808,0.0023162904623577063
2015-02-05,999664.3933239328,0.0015407238758946562
2015-02-06,999664.3922168703,-1.1074341443872981e-09
2015-02-09,995819.9311669654,-0.0038457517141121667
2015-02-10,994282.1248312173,-0.0015442614549258105
2015-02-11,1000433.3209444855,0.006186570149103732
2015-02-12,1005815.6049559131,0.00537995276521408
2015-02-13,1004277.8140011178,-0.0015288994794058208
2015-02-24,1005046.6628775657,0.0007655738937264456
2015-02-25,1010428.9471995318,0.005355258139513541
2015-02-26,1011966.752845995,0.0015219334825327113
2015-03-02,1008891.1225332438,-0.003039260236664343
2015-03-03,1006584.4848674155,-0.002286309805201392
2015-03-04,1006584.4848674155,0.0
2015-03-05,1006584.4531002389,-3.1559374336076473e-08
2015-03-06,1005046.6462078439,-0.001527747510562727
2015-03-09,1002739.9745763028,-0.0022950891286931396
2015-03-10,998895.4973534823,-0.0038339722363666118
2015-03-11,996588.7656056997,-0.0023092823562566034
2015-03-12,1001971.1117919545,0.005400769476849865
2015-03-13,1003508.855677684,0.0015347187834380271
2015-03-16,1005046.6122687958,0.0015323796919295418
2015-03-17,1004277.750942764,-0.0007650006642937468
2015-03-18,1008122.2451929754,0.0038281185126349815
2015-03-19,1010428.94704733,0.002288117205382134
2015-03-20,1008891.1562943246,-0.0015219187430240977
2015-03-23,1012735.6171395774,0.003810580379526307
2015-03-24,1011966.753059151,-0.0007591952602575835
2015-03-25,1009660.0348036776,-0.002279440750894479
2015-03-26,999328.7705197679,-0.010232418762537776
2015-03-27,999328.7705197679,0.0
2015-03-30,999328.7705197679,0.0
2015-03-31,999328.7705197679,0.0
2015-04-01,999328.7705197679,0.0
2015-04-02,999328.7705197679,0.0
2015-04-07,999328.7705197679,0.0
2015-04-08,999328.7705197679,0.0
2015-04-09,999328.7705197679,0.0
2015-04-10,999328.7705197679,0.0
2015-04-13,999328.7705197679,0.0
2015-04-14,999328.7705197679,0.0
2015-04-15,999328.7705197679,0.0
2015-04-16,999328.7705197679,0.0
2015-04-17,999328.7705197679,0.0
2015-04-20,999328.7705197679,0.0
2015-04-21,999328.7705197679,0.0
2015-04-22,999328.7705197679,0.0
2015-04-23,999328.7705197679,0.0
2015-04-24,999328.7705197679,0.0
2015-04-27,998971.9356015422,-0.00035707459722189583
2015-04-28,999749.3537240383,0.0007782181809021793
2015-04-29,994307.4423943937,-0.005443275666419445
2015-04-30,989642.9491936485,-0.004691198116261286
2015-05-04,991975.1233031559,0.002356581342197739
2015-05-05,990420.367421798,-0.001567333539757354
2015-05-06,986971.2726238696,-0.003482455441528143
2015-05-07,986971.2726238696,0.0
2015-05-08,986971.2726238696,0.0
2015-05-11,986971.2726238696,0.0
2015-05-12,986971.2726238696,0.0
2015-05-13,986971.2726238696,0.0
2015-05-14,986971.2726238696,0.0
2015-05-15,986971.2726238696,0.0
2015-05-18,986971.2726238696,0.0
2015-05-19,986971.2726238696,0.0
2015-05-20,986971.2726238696,0.0
2015-05-21,986971.2726238696,0.0
2015-05-22,986971.2726238696,0.0
2015-05-25,986971.2726238696,0.0
2015-05-26,986451.5978850003,-0.0005265348174600115
2015-05-27,979452.538708947,-0.00709518763116157
2015-05-28,982952.1528925702,0.0035730308976851255
2015-05-29,982437.558302245,-0.0005235194702112311
2015-06-01,982437.558302245,0.0
2015-06-02,982437.558302245,0.0
2015-06-03,982437.558302245,0.0
2015-06-04,982437.558302245,0.0
2015-06-05,982437.558302245,0.0
2015-06-08,982437.558302245,0.0
2015-06-09,982437.558302245,0.0
2015-06-10,982437.558302245,0.0
2015-06-11,982437.558302245,0.0
2015-06-12,982437.558302245,0.0
2015-06-15,982437.558302245,0.0
2015-06-16,982437.558302245,0.0
2015-06-17,982437.558302245,0.0
2015-06-18,982437.558302245,0.0
2015-06-22,982437.558302245,0.0
2015-06-23,982437.558302245,0.0
2015-06-24,982437.558302245,0.0
2015-06-25,982437.558302245,0.0
2015-06-26,982437.558302245,0.0
2015-06-29,982437.558302245,0.0
2015-06-30,982437.558302245,0.0
2015-07-01,982437.558302245,0.0
2015-07-02,982437.558302245,0.0
2015-07-03,982437.558302245,0.0
2015-07-06,982437.558302245,0.0
2015-07-07,982437.558302245,0.0
2015-07-08,982437.558302245,0.0
2015-07-09,982437.558302245,0.0
2015-07-10,982437.558302245,0.0
2015-07-13,982437.558302245,0.0
2015-07-14,982437.558302245,0.0
2015-07-15,982437.558302245,0.0
2015-07-16,982437.558302245,0.0
2015-07-17,982437.558302245,0.0
